akala
alam
batid
bigay
dapat
depende
gamit
gawa
gusto
ibig
kailangan
maaari
maari
nais
pwede
sabi
sana
tawag
yari
deped
mahal
kaya
kinailangan
kapwa
ayaw
saad
bag
