higit
kasing
kasinghalaga
kasinglaki
kasintahang
lalo
lalong-lalo
mahigit
mahigpit
mas
medyo
lagi-lagi
kauna
lalong
kasing-dami
labing
kasingkahulugan
kasinghaba
kasingdami
kasingkatulad
lalung-lalo
kasing-aga
kasing-galing
