negritong
perang-tulong
animnapung
apatnapung
daan-daang
daang
dalawampung
dalawang
diyos-diyosang
ika-limang
ika-pitong
ikalawang
ikalimang
ikapitong
ikasampung
ikatlong
ikawalong
ikinukulong
ilampung
inyo-inyong
labindalawang
labing-dalawang
labing-isang
labingdalawang
labingwalong
labinlimang
labintatlong
laksa-laksang
libo-libong
libong
libritong
limampung
limang
limang-taong
pangalawang
pangatlong
panglimang
pantalong
paparitong
pitong
pitumpung
pulpitong
pung
sampung
siyamnapung
talong
tatlong
tatlumpung
taus-pusong
unang
walong
nitong
labimpitong
pangsampung
espiritung
kauna-unang
ikalabindalawang
kubikong
libu-libong
labingtatlong
isang
kalahating
ika-sampong
unahang
t-walong
tig-dalawang
ika-labing-isa
labing-limang
labing-pitong
tatlumpong
pangdalawahang
sanpung
ika-labinlimang
panlimang
pang-walong
dalawang-daang
pangwalong
pansampung
pampitong
tatluhang
dalawang-dadaaning
labingpitong
ika-limampung
limangpung
labin-limang
unang-tatlong
labing-walong
sampu-sampung
tig-dadalawang
ika-labintatlong
ika-tatlong
panalong
nuong
walo-hanggang-sampung
t-isang
humigit-kumulanglimampung
ika-walong
labinglimang
ikalabing-isang
dalawangpung
isang-taong
daang-daang
isandaang
ikatlong-partidong
dalawang-taong
walumpung
ika-sampung
pansimulang
dalawang-katlong
dalampung
labinwalong
pitompung
dalawapung
pang-limang
dalwang
milyun-milyong
ika-labinglimang
tatalong
labing-walo
