samantala
alang
alang-alang
alintana
bagama
bagaman
bagkus
basta
bilang
bukod
datapwat
halip
imbes
imbing
kabila
kahit
kasera
kundi
liban
malamang
maliban
maski
ngunit
o
para
parang
pero
puwera
pwera
sa
samakatuwid
samantalang
sasapi
subali
subalit
umano
silang
kabilang
bagamat
pawang
samantantalang
wiling
alas-3
datapuwat
bin
diumano
