pinag-isang
pinaghalong
pinagkakatiwalaang
pinagkasunduang
pinagmulang
pinagpalang
pinagsamang
pinagsisikapang
pinagtutulungang
pinag-uusapang
pinagbentang
pinagbabawalang
pinaghinalaang
pinagtalunang
pinaghaluhalong
pinagmumulang
pinagkaisahang
pinagtatalunang
pinagmamasdang
pinagkukumpetensiyahang
pinag-walang
pinagpupuslitang
pinaghihidwaang
pinagtulungang
pinagunahang
pinagwalang
pinagmukhang
pinagkatiwalang
pinagkunang
pinagpayuhang
pinag-yelong
