koneho
gaya
kadalas
kadalasa
kagaya
kahalintulad
kalilipas
kapareho
kaparis
kasilyas
kasinlaki
kasunduang-bansa
katulad
katumbas
kaugnay
kaysa
matikas
minamaneho
pare-pareho
parehas
pareho
tulad
kasing
medyo
kasingtaas
magmamaneho
kaligtas
kapares
kabilaang
minaneho
kaparehas
kasintulad
kasintaas
kasinglakas
kawalang-ligtas
mahigit
