humampas
humanga
kumalinga
kumandidato
lumihis
pinabulaanan
pumili
pumuna
sumobra
umakit
umako
umilag
huminto
pumunta
lumisan
tumanggap
lumobo
didiretso
umakto
lumikas
lumabas
lumabag
pumanaw
