umaarko
umaarmado
umaatake
bumababa
bumabagabag
bumabagsak
bumabagtas
bumabagyo
bumabahin
bumabalik
bumabaling
bumabalot
bumabaluktot
bumabangon
bumabasa
bumabati
bumanggit
bumibigay
bumibili
bumibilis
bumibisita
bumibiyahe
bumubuhay
bumubulong
bumubuntot
bumubuo
bumubuti
dumadaan
dumadalas
dumadalaw
dumadalo
dumadaloy
dumadami
dumadanak
dumaraan
dumaranas
dumarating
dumidilim
gumagabay
gumagalang
gumagalaw
gumagaling
gumagamit
gumagana
gumaganap
gumaganda
gumagapang
gumagarantiya
gumagasgas
gumagasta
gumagastos
gumagawa
gumagawang
gumuguhit
humahabol
humahadlang
humahanap
humahanga
humahantong
humaharap
humahataw
humahatol
humahawak
humihigit
humihikayat
humihiling
humihina
humihinga
humihingi
humihinto
humihiwalay
humihiyaw
kumakain
kumakalaban
kumakalat
kumakanta
kumakatawan
kumikilos
kumukontrol
kumukuha
lumalabag
lumalaban
lumalabas
lumalabo
lumalaganap
lumalago
lumalagpas
lumalahok
lumalakad
lumalakas
lumalaki
lumalala
lumalalang
lumalalim
lumalampas
lumalangoy
lumalantad
lumalapag
lumalapastangan
lumalapit
lumalawak
lumalayo
lumilihis
lumiliit
lumilikha
lumilipad
lumilipat
lumilitaw
lumulubog
lumulusob
lumulutang
magbabayad
magpapatuloy
pumapabor
pumapadyak
pumapaitaas
pumapaloob
pumapangalawa
pumaparito
pumapasok
pumapatak
pumapatay
pumapatnubay
pumapatungkol
pumapayag
pumapayapa
pumipigil
pumipili
pumipilit
pumupuno
pumupunta
pumupuri
sumasabak
sumasabay
sumasagi
sumasagisag
sumasagot
sumasailalim
sumasakay
sumasakit
sumasaklaw
sumasakop
sumasaksi
sumasalamin
sumasali
sumasalo
sumasalungat
sumasama
sumasamba
sumasamo
sumasang-ayon
sumasangguni
sumasapi
sumasapit
sumisibol
sumisigaw
sumisikat
sumisilip
sumisingil
sumisisid
sumusonod
sumusubaybay
sumusugat
sumusugod
sumusukat
sumusuko
sumusulat
sumusulong
sumusumpa
sumusunod
sumusuporta
sumusuri
sumususo
sumusuway
tumataas
tumatabi
tumatagaktak
tumatagal
tumataginting
tumatagos
tumatahak
tumatahan
tumatahimik
tumatahol
tumatakas
tumatakbo
tumatakbong
tumatakip
tumatalakay
tumatalikod
tumatalima
tumatanaw
tumatanda
tumatanggap
tumatanggi
tumatangis
tumatangkilik
tumatanglaw
tumatawa
tumatawag
tumatawid
tumatayo
tumitigas
tumitigil
tumitimbang
tumitindi
tumitinding
tumitingin
tumitira
tumitiyak
tumutubo
tumutugma
tumutugon
tumutugtog
tumutukoy
tumutuktok
tumutulak
tumutulo
tumutulong
tumutuloy
tumutungo
tumutunog
tumutupad
tumututol
umaabot
umaagos
umaako
umaakyat
umaalis
umaangkop
umaani
umaasa
umaasam
umaasang
umaayon
umiikot
umiinog
umiinom
umiiral
umiiwas
umiiyak
umintindi
umuunlad
umuupa
umuupo
umuusbong
umuuwi
yumayakap
tumutkoy
tumutustos
tumatama
bumubungad
bumabaligtad
lumalagapak
umuugong
lumagapak
sumurender
sumisikip
bumiktima
tumatamasa
pumapalag
tumungkab
bumulantang
umaaksyon
dumipensa
tumutumbok
sumusubok
kumikitil
kumukwestyon
umaapela
sumosuporta
magpapatotoo
lumilikas
kumakausap
sumasabog
sumasagip
bumibigat
kumonpirma
lumulundag
pumupukaw
bumabatikos
tumataliwas
tumistigo
gumuguho
umaagapay
sumasalubong
umaakay
umaaasang
umaapila
sumusugpo
sumasalisi
lumingon
pumapalibot
lumulubha
bumabiyahe
sumisikil
tumitibay
kumikislap
bumaliktad
humuhuli
kumikita
pumipinsala
sumasalakay
humaharang
sumisenyas
tumutol
umaamin
tumatak
bumoboto
papalabas
lumiwanag
humihithit
dumidiklap
sumasanib
humahanay
gumagaya
umaapoy
tumatagas
pumuputok
umuusig
lumalayag
pumupuna
bumubunot
sumusurpota
pumapalo
bumaluktot
umaangkin
gumagala
sumisipa
bumabaril
sumaklaw
humihingal
kumpyansa
umiskor
kumakagat
pumapanig
bumuwelta
pumupuntos
tumatakdo
bumabaybay
humahagibis
dumadanas
sumahimpapawid
sumasang
sumusunog
pumupuntirya
pumupunto
tumututok
bumebenta
humagupit
umuukupa
dumarami
tumatalab
sumasadsad
kumakaltas
humihila
umaarangkada
dumadating
pumapataw
bumobotolamang
umaasenso
kumakatawn
kumokontra
umaapekto
uminsulto
tumatarget
tumatangging
yumayabong
pamimilit
sumalubong
humahamon
popondohan
sumisimba
kumakaharap
sumuilat
sumipsip
kumunsinti
kumumpirma
tumutuklap
bumabagal
lumilibot
bumunggo
bumibigkas
humahampas
kumukumpirma
kumukutya
tumatalbog
bumabawi
magpapabagsak
umiigkas
umuurong
sumasaklang
kumikiling
umuungal
kumagamit
bumulusok
kumakamkam
umuulan
lumuluwa
lumalakbay
gumigising
pumapalit
kumonsulta
guguho
sumisilong
pumangatlo
lumiligid
kumakapanayam
umiinit
sumesentro
pumangalawa
kumukondena
lumalaktaw-tumitigil
lumalaktaw
yumayanig
sumisirkula
dumadagdag
umuungot
tumutuntong
rumeresponde
lumilipol
dumeretso
umuusad
bumabangga
lumalawig
sumasalik
kumontrol
sumasamang
umaawit
kumakawatan
gumanang
