asahang
bigyang
binagong
binayarang
binigyang
bintang
binuong
gawaing
gawing
hayaang
iniwang
isiping
itinayong
iwasang
mabigyang
pinangangalagaang
pinangangambahang
piniling
sabihing
sikaping
sinubukang
sinundang
wang
ginawang
binitiwang
tawaging
binasang
binuburdahang
binabayarang
sinabing
sinimulang
itinangging
siguruhing
suriing
sadyaing
tiningnang
tanggaping
pinabuting
isinaling
binigyng
pinasong
tining
inaming
pinkamalaking
binning
pintong
binotong
kinopyang
pading
pinamarisang
binawing
yamang
itim-at-putting
pinatuyong
pinirmahang
hininging
