baragatan
kalapi
alinman
anuman
bawat
buo
darami
iba
iban
iisa
isa
kabitan
kabuntisan
kabuti
kabuuan
kabuuran
kabuwanan
kada
kahati
kaiba
kaisa-isa
kalahatan
kalahati
kaninuman
kapwa
karami
karamihan
kasalatan
kasapatan
katakutan
kaunti
konti
lahat
madami
madla
marami
pangkalahatan
parami
sangkatauhan
tanan
minabuti
buti
sinuman
kabuoan
kasingdami
gayuman
karaamihan
ninuman
kasami
kasinrami
katubusan
