ilimbag
ipagsabi
basahan
binansagang
dakpin
dinaluhan
hihingiin
hihiramin
hinangaan
hinarap
hiramin
hirang
hiwagang
ibilang
idinulog
igalang
ikinasal
ikinuwento
ilibing
inagaw
inakala
inanyayahan
iniipon
inis
inusisa
ipinagtanggol
isinulong
kinanta
kinatigan
likumin
minahal
nirerentahan
pinaplano
pinaputok
pinatawad
pinatuloy
pinulong
pinuna
sinikap
siniyasat
sirain
ipa
hihingi
andiyan
inihulog
pinaratangan
pinapabulaanan
inalis
ilihis
pinintasan
inasahan
inilihis
iyan
pinapunta
gisigin
dinakip
sinintensyahan
inalalayan
pinapalo
susubaybayan
sinipa
pinaputukan
sinabing
tinutukan
ipagpatuloy
iasa
itinatag
susubaybay
iabswelto
ipagtatanggol
sinintensiyahan
inihihiwalay
ipagpapatuloy
pinurga
pinasiyahan
iminamartsa
lagpasan
diumano
inihain
