ginagawa
gugugulin
ibili
ikauunlad
ilinarawan
inaangkat
inihabilin
inilantad
inililipat
inilulunsad
ipambayad
ipinagbilin
ipinagtatagubilin
itinagubilin
itinatagong
itinatagubilin
itinatayong
kinakain
napipigilan
nililimitahan
pinamamahalaan
puputulin
sasalubungin
singilan
singilin
sinipi
sinisiyasat
sinulatan
sinunggaban
singdami
inihahanda
dinadanas
hinahampas
binakbakan
binabasa
nagbibilin
itinatanggi
tinututulan
pasalamatan
kinakailangan
inilalagay
itinatala
itinatapon
itinatanging
isangkatlong
sinusubuan
dinipensahan
inisyatibo
