buweno
gahaman
ganunpaman
gayundin
gayunman
gayunpaman
kaabahan
kaagad-agad
kaagapay
kaakibat
kaaliwan
kaalyado
kaamuan
kaanak
kaanib
kaasalan
kaawa-awa
kaawaan
kaayaaya
kabilang
kagahapon
kahalili
kainaman
kapalit
kasabay
kasali
kasama
kasapi
katabi
kumbaga
ng
sama
sus
upang
upuang
nang
para
alinman
kapwa
basta
gayun
gayon
aniya
kaaalaman
upan
na
kameraman
kailaman
sapagka
gaunpaman
