abdominal
abnormal
adisyunal
aga
agrabyado
agresibo
agresyon
akma
aksaya
aktibo
aktuwal
aktwal
alangan
alerto
amateur
ambisyoso
aminado
ampaw
angat
angkop
apektado
apektado
aprubado
armado
artipisyal
aspaltado
asul
atrasado
automatiko
awas
baba
babaha
babawas
baguhan
bahagya
bakante
baldado
balde
balido
baliktad
balingkinitan
banal
banayad
bangag
bantayog
bantog
baog
baog
barado
bastos
bata
bayolente
berde
beripikado
bertikal
bibihira
bigatin
biglaan
bigo
bigwas
bihasa
bihira
bingi
bira
birtuwal
biswal
biyak
blangko
bobo
bokal
bokasyunal
botanikal
brusko
bugbog
bukas
buktot
bulag
bulalas
bulebar
bulgar
bulok
bundat
bungal
bungi
burdado
busilak
busog
buwag
buwenas
buwisit
