abenturera
alambrera
alang
alangilang
ali
alintana
bag
bagaman
bagamat
bagama
bagkus
bagung
bandera
bandolera
banggera
banyera
barera
basta
basta
bastunera
bi
bilang
binu
biyahera
bukod
bumandera
bungangera
burdadera

